127.0.0.1 - - [02/Jul/2016:11:52:55 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/ HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/css/auth_901307e.css HTTP/1.1" 200 10809
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/css/sprites_25cd3ba.css HTTP/1.1" 200 22909
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/vds.js HTTP/1.1" 200 63845
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/seajs-config_2f1056e.js HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/images/login/logo.png HTTP/1.1" 200 100042
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/bw-loader-411.4.5.js HTTP/1.1" 200 12836
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/hm.js HTTP/1.1" 200 24484
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/css/base_4ec9ee6.css HTTP/1.1" 200 18119
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/file/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/file/jquery.js HTTP/1.1" 200 92594
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/bw-send-411.4.5.js HTTP/1.1" 200 22857
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/sea.js HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/js/v.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:11:52:58 +0800] "GET /cloud_disk/Resources/images/all-icons_759cad7.png HTTP/1.1" 200 112195
